time (seconds),encoderLeft (meters),encoderRight (meters)
37.301,1.4470710754394531,1.1420613527297974
37.402,1.4520676136016846,1.147057294845581
37.5,1.457066297531128,1.1520559787750244
37.602,1.4620652198791504,1.1570546627044678
37.698,1.4670640230178833,1.1620533466339111
37.802,1.4720629453659058,1.167052149772644
37.902,1.4770617485046387,1.1720508337020874
38.001,1.4820605516433716,1.1770495176315308
38.1,1.4870593547821045,1.1820482015609741
38.202,1.492058277130127,1.187047004699707
38.302,1.4970570802688599,1.1920455694198608
38.401,1.5020558834075928,1.1970443725585938
38.502,1.5070546865463257,1.202043056488037
38.602,1.5120536088943481,1.2070417404174805
38.699,1.517052412033081,1.2120404243469238
38.801,1.522051215171814,1.2170391082763672
38.901,1.5270501375198364,1.2220379114151
39.002,1.5320489406585693,1.2270365953445435
39.102,1.5370477437973022,1.2320352792739868
39.199,1.5420465469360352,1.2370339632034302
39.302,1.5470454692840576,1.242032766342163
39.401,1.5520442724227905,1.2470314502716064
39.499,1.557043194770813,1.2520301342010498
39.602,1.562041997909546,1.2570288181304932
39.702,1.5670408010482788,1.262027621269226
39.802,1.5720397233963013,1.2670263051986694
39.901,1.5770385265350342,1.2720249891281128
39.998,1.582037329673767,1.2770236730575562
40.102,1.5870361328125,1.2820223569869995
40.201,1.5920350551605225,1.2870211601257324
40.302,1.5970338582992554,1.2920198440551758
40.402,1.6020326614379883,1.2970185279846191
40.501,1.6070314645767212,1.3020172119140625
40.602,1.6120303869247437,1.3070158958435059
40.7,1.6170291900634766,1.3120145797729492
40.802,1.6220279932022095,1.3170133829116821
40.899,1.6270267963409424,1.3220120668411255
41.001,1.6320257186889648,1.3270107507705688
41.101,1.6370245218276978,1.3320094347000122
41.203,1.6420234441757202,1.3370081186294556
41.302,1.6470221281051636,1.342006802558899
41.4,1.652021050453186,1.3470054864883423
41.499,1.657019853591919,1.3520042896270752
41.602,1.6619691848754883,1.356953501701355
41.701,1.662019968032837,1.3570042848587036
41.802,1.6670162677764893,1.3620002269744873
41.902,1.6720150709152222,1.3669989109039307
42,1.6770139932632446,1.371997594833374
42.102,1.6820127964019775,1.3769962787628174
42.202,1.6870115995407104,1.3819949626922607
42.3,1.6920104026794434,1.386993646621704
42.404,1.6970093250274658,1.3919923305511475
42.502,1.7020081281661987,1.3969911336898804
42.601,1.7070069313049316,1.4019898176193237
42.7,1.712005853652954,1.4069886207580566
42.802,1.717004656791687,1.4119873046875
42.902,1.72200345993042,1.4169859886169434
42.999,1.7270023822784424,1.4219846725463867
43.101,1.7320011854171753,1.42698335647583
43.202,1.7369999885559082,1.4319820404052734
43.302,1.7419989109039307,1.4369808435440063
43.402,1.7469977140426636,1.4419795274734497
43.501,1.7519965171813965,1.446978211402893
43.602,1.756995439529419,1.4519768953323364
43.699,1.7619942426681519,1.4569756984710693
43.802,1.7669930458068848,1.4619743824005127
43.902,1.7719918489456177,1.466973066329956
44.001,1.7769907712936401,1.4719717502593994
44.102,1.781989574432373,1.4769704341888428
44.202,1.786988377571106,1.4819691181182861
44.302,1.7919871807098389,1.4869678020477295
44.399,1.7969861030578613,1.4919666051864624
44.502,1.8019849061965942,1.4969652891159058
44.602,1.8069837093353271,1.5019639730453491
44.701,1.8119826316833496,1.5069626569747925
44.802,1.8169814348220825,1.5119614601135254
44.902,1.8219802379608154,1.5169601440429688
45.002,1.826979160308838,1.521958827972412
45.102,1.8319778442382812,1.5269575119018555
45.201,1.8369767665863037,1.5319561958312988
45.301,1.8419755697250366,1.5369548797607422
45.4,1.8469743728637695,1.5419535636901855
45.502,1.8519731760025024,1.546952247619629
45.601,1.856972098350525,1.5519510507583618
45.702,1.8619709014892578,1.5569497346878052
45.802,1.8668949604034424,1.561923623085022
45.902,1.86447274684906,1.5644484758377075
46.003,1.8694672584533691,1.5694464445114136
46.102,1.874466061592102,1.574445128440857
46.201,1.8794649839401245,1.5794438123703003
46.302,1.8844637870788574,1.5844426155090332
46.403,1.8894625902175903,1.5894412994384766
46.502,1.8944615125656128,1.59443998336792
46.602,1.8994603157043457,1.5994386672973633
46.702,1.9044591188430786,1.6044373512268066
46.8,1.9094579219818115,1.60943603515625
46.902,1.9144567251205444,1.6144347190856934
47.002,1.919455647468567,1.6194334030151367
47.102,1.9244544506072998,1.62443208694458
